n,name
1,10Cent10
2,10Cent11
3,11cent
4,12cent
5,13cent
6,14cent
7,15cent
8,16cent
9,acqusition
10,aiohttp-proxies
11,aiohttp-socks4
12,aiohttp-socks5
13,aml-ds-pipeline-contrib
14,apidev-coop
15,aryi
16,aws-login0tool
17,azure-cli-ml-preview
18,azure-cli-ml-private-preview
19,azureml-contrib-jupyterrun
20,azureml-contrib-optimization
21,azureml-contrib-reports
22,botaa3
23,bzip
24,collored
25,colourama
26,crypt
27,dajngo
28,diango
29,DiscordSafety
30,distrib
31,djago
32,djanga
33,django-server
34,dpp-client
35,dpp-client1234
36,easyfuncsys
37,easyinstall
38,genesisbot
39,humanqueen
40,humanqueenn
41,important-package
42,importantpackage
43,ipahttp
44,ipboards
45,jeIlyfish
46,junkeldat
47,learninglib
48,libari
49,libpesh
50,libpeshka
51,libpeshnx
52,maratlib
53,maratlib1
54,matplatlib-plus
55,mitmproxy-iframe
56,mitmproxy2
57,mllearnlib
58,mplatlib
59,mumpy
60,mybiubiubiu
61,nmap-python
62,noblesse
63,noblesse2
64,noblessev2
65,oksana
66,openvc
67,owlmoon
68,pkgutil
69,pmpo
70,pptest
71,pwd 
72,pyconau-funtimes
73,pytagora
74,pytagora2
75,python-ftp
76,python-mongo
77,python-mysql
78,python-mysqldb
79,python-openssl
80,python-sqlite
81,python3-dateutil
82,pythonkafka
83,request.request
84,sdk-cli-v2
85,sdk-cli-v2-public
86,secbg
87,secrevtwo
88,setup-tools 
89,skale-allocator-cli
90,smb
91,smplejson
92,ssh-decorate
93,suffer
94,telnet
95,testing-pip-confusion
96,timeit
97,trrfab
98,urlib3
99,urllib
100,virtualnv
101,xss
102,yandex-yt
103,yiffparty
